hex,flight,t,r,lat,lon,alt_baro,gs,track,baro_rate,seen
a66316,SKW249R,E75L,N510SY,37.396637,-122.577502,13775,344.1,132.17,1984,0.0
a47fd9,UAL893,B789,N38950,37.640579,-122.426440,1650,191.8,300.04,2112,0.0
aad012,UAL35,B772,N796UA,37.617502,-122.394233,ground,0.0,N/A,N/A,2.1
a43667,UAL888,B772,N37018,37.619864,-122.394144,ground,0.0,N/A,N/A,2.1
a2a41e,UAL892,B789,N26996,37.620964,-122.392955,ground,0.1,N/A,N/A,1.7
ad6539,SKW750R,CRJ2,N962SW,37.620129,-122.391494,ground,0.0,N/A,N/A,17.0
a3d326,UAL1164,A21N,N34562,37.300186,-122.390676,13450,367.2,128.59,1920,0.0
aa6bc0,UAL875,B772,N77022,37.618991,-122.390502,ground,1.6,N/A,N/A,0.3
aa99b7,UAL34,B772,N782UA,37.624391,-122.388845,ground,11.8,N/A,N/A,0.2
a76f46,UAL2827,B753,N57855,37.622463,-122.388674,ground,0.0,N/A,N/A,4.3
a11eb7,N/A,A321,N171US,37.610368,-122.386964,ground,0.0,N/A,N/A,12.8
a5aa1c,SKW5212,CRJ2,N464SW,37.620888,-122.386680,ground,0.0,N/A,N/A,0.4
a1dab3,JBU1034,A21N,N2188J,37.610928,-122.386643,ground,0.0,N/A,N/A,5.4
a5aff2,AAL2722,A21N,N466AN,37.610287,-122.386585,ground,0.0,N/A,N/A,8.0
a81001,UAL1205,B739,N61882,37.621342,-122.385957,ground,0.0,N/A,N/A,5.9
a067ec,SKW485Y,E75L,N125SY,37.619637,-122.385606,ground,0.0,N/A,N/A,3.7
ad27f3,JBU1734,A321,N947JB,37.611054,-122.385158,ground,0.0,N/A,N/A,0.7
aa7f24,UAL2661,B39M,N77581,37.620912,-122.385023,ground,0.0,N/A,N/A,19.1
a70333,ASA718,B738,N551AS,37.612038,-122.384394,ground,0.0,N/A,N/A,0.8
a7e151,ASA528,B737,N607AS,37.612276,-122.382859,ground,6.8,270.00,N/A,0.2
a44257,UAL1271,B38M,N37371,37.619247,-122.382757,ground,0.0,N/A,N/A,20.4
aa3ae4,UAL1116,B753,N75853,37.620838,-122.382713,ground,8.2,219.38,N/A,0.5
aaa621,SWA957,B737,N7855A,37.616629,-122.381277,ground,0.0,N/A,N/A,0.1
c012aa,ACA758,N/A,N/A,37.618481,-122.381253,ground,0.0,N/A,N/A,0.7
a0acf9,UAL1259,B738,N14231,37.615894,-122.381077,ground,0.0,N/A,N/A,5.3
a12a82,UAL2177,B39M,N17408,37.618200,-122.380963,ground,0.0,N/A,N/A,1.7
aa9d6e,UAL852,B772,N783UA,37.618950,-122.379967,ground,11.8,196.88,N/A,0.2
a12b2f,UAL2467,B39M,N17456,37.617350,-122.379470,ground,13.2,180.00,N/A,0.0
a126e7,UAL643,B38M,N17311,37.615334,-122.376972,ground,0.0,N/A,N/A,0.2
a0c20f,SKW6001,E75L,N148SY,37.615116,-122.376446,ground,0.0,N/A,N/A,0.3
a11e8b,SKW3490,E75L,N171SY,37.615186,-122.373112,ground,18.5,45.00,N/A,0.3
ab4531,UAL2649,A319,N825UA,37.614639,-122.369186,ground,12.2,129.38,N/A,0.1
ad60b7,JBU578,A321,N961JT,37.613894,-122.368171,ground,12.2,132.19,N/A,0.0
a615d0,SWA1041,B737,N491WN,37.836681,-122.362558,9925,326.0,315.37,64,0.1
a04b92,SKW6013,E75L,N118SY,37.610635,-122.359438,ground,0.0,N/A,N/A,1.1
abfbd0,UAL2624,A319,N871UA,37.611078,-122.358976,ground,0.0,N/A,N/A,1.7
a1239d,UAL1595,B738,N17245,37.611915,-122.358841,ground,0.0,N/A,N/A,3.4
aa7ec2,UAL323,B39M,N77558,37.611008,-122.351172,125,146.7,297.61,-640,0.0
a3c51a,DAL1053,N/A,N342DU,37.667278,-122.342496,3975,207.1,64.55,N/A,0.1
a533bd,UAL1286,A320,N434UA,37.470291,-122.333173,8850,247.9,194.48,-960,0.2
a134d5,SKW3305,E75L,N177SY,37.577199,-122.275981,1325,152.1,297.41,-768,0.0
a760b3,UAL1147,N/A,N57478,37.554761,-122.217527,2400,195.5,297.74,-1024,0.0
780a38,CPA870,B77W,B-KQF,37.378372,-122.204376,5975,235.1,95.61,64,0.0
aa9a7a,SWA3228,B737,N7821L,37.658712,-122.150415,1275,144.9,309.40,-768,0.0
ac259b,DAL1715,B739,N882DN,37.510849,-122.125192,3900,229.7,326.73,-832,0.1
abb245,SWA4760,B738,N8528Q,37.489655,-122.062956,5150,251.4,297.99,-2112,0.0
a9d5e5,UAL2842,B738,N73276,37.813293,-122.239614,10525,295.8,6.40,3072,0.0
a4cc00,SKW3047,E75L,N408SY,37.844828,-122.275921,18975,367.7,140.07,1792,0.1
