# 28 archived KSFO METAR/SPECI reports with weather phenomena (the last days had none), verbatim.
# Source: Iowa Environmental Mesonet ASOS archive (public domain; "Attributing the Iowa Environmental Mesonet of Iowa
# State University would be appreciated", https://mesonet.agron.iastate.edu/disclaimer.php).
# Requests (fetched 2026-09-24): https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=SFO&data=metar
#   &year1=2025&month1=9&day1=1&year2=2026&month2=9&day2=25&tz=Etc%2FUTC&format=onlycomma&report_type=3&report_type=4
#   and the same for 2016-01-01..2026-01-01. IEM strips the METAR/SPECI type word. Format: <valid UTC>|<report>
2025-11-08 13:56|KSFO 081356Z 20003KT M1/4SM R28R/1000V1400FT FG VV002 14/14 A3001 RMK AO2 SLP161 T01440139
2025-11-02 16:04|KSFO 021604Z 13003KT 1/4SM R28R/P6000FT FG BKN003 14/13 A3012 RMK AO2 T01390133
2025-01-07 09:39|KSFO 070939Z 00000KT M1/4SM R28R/1600V3000FT FG BKN000 10/10 A3019 RMK AO2 FG BKN000 T01000100 $
2025-01-07 09:25|KSFO 070925Z COR 02004KT 3SM R28R/1600VP6000FT PRFG BKN000 11/11 A3019 RMK AO2 VIS NE E M1/4 PRFG BKN000 T01110111 $
2016-11-13 19:56|KSFO 131956Z 03007KT 1/2SM R28R/2200VP6000FT BCFG VV002 16/14 A3017 RMK AO2 TWR VIS 6 SLP216 T01610139 $
2016-01-26 12:43|KSFO 261243Z 19003KT 10SM BCFG FEW002 BKN004 09/08 A3030 RMK AO2 VIS NW 1/2 T00890078 $
2016-08-15 02:56|KSFO 150256Z 29021KT 9SM VCFG FEW003 14/12 A2989 RMK AO2 SLP120 FG IN GAP W T01390117 55000
2025-11-08 17:03|KSFO 081703Z 03005KT 3/4SM R28R/3500VP6000FT BR BKN002 OVC004 14/14 A3004 RMK AO2 T01440144
2025-12-25 10:56|KSFO 251056Z 22036G63KT 2SM R28R/3500VP6000FT +RA BR SQ FEW020 SCT029 OVC039 13/11 A2961 RMK AO2 PK WND 23063/1053 SLP026 P0016 T01280106 $
2025-11-17 08:10|KSFO 170810Z 24010G21KT 1 1/4SM R28R/2400VP6000FT +RA BR SCT008 BKN014 OVC032 13/12 A2974 RMK AO2 WSHFT 0745 P0036 T01330117 $
2026-02-18 03:20|KSFO 180320Z COR 28012G23KT 8SM -TSRA SCT029 BKN044CB OVC080 07/04 A2970 RMK AO2 FRQ LTGICCCCG SE VCTS MOV N WSHFT 0303 RAB02 TSB20 P0001 T00720044
2026-04-12 00:56|KSFO 120056Z COR 26012KT 2 1/2SM TSRA BR SCT018 BKN036CB OVC070 11/09 A2977 RMK AO2 PK WND 19043/0026 WSHFT 0026 TSB45 SLP080 OCNL LTGIC NE TS MOV NE P0045 T01060089 $
2025-12-26 00:22|KSFO 260022Z 20015G22KT 5SM VCTS HZ BKN027 BKN045 OVC055 13/10 A2978 RMK AO2 PK WND 18028/0004 RAE22 P0006 T01280100 $
2024-03-02 04:48|KSFO 020448Z COR 24023G32KT 3SM R28R/4500VP6000FT GRRA BR FEW014 BKN020 OVC040 10/08 A2977 RMK AO2 PK WND 21035/0357 GRB47 TSB30E48 TS DSIPTD GR LESS THAN 1/4 P0037 T01000078 $
2025-09-30 14:56|KSFO 301456Z 14005KT 10SM -DZ FEW006 SCT013 BKN020 18/16 A2995 RMK AO2 DZB56 SLP143 P0000 60000 T01830156 53008
2026-05-26 10:21|KSFO 261021Z 25008KT 2 1/2SM -DZ BR FEW005 BKN016 OVC027 13/12 A2988 RMK AO2 P0000 T01280117 $
2026-05-27 12:56|KSFO 271256Z 00000KT 10SM FEW004 FEW007 SCT200 11/09 A2976 RMK AO2 SLP079 FU FEW004 T01110089
2026-06-11 21:56|KSFO 112156Z 30013KT 10SM CLR 30/11 A2980 RMK AO2 SLP089 FU DSNT E T03000111
2026-04-10 19:15|KSFO 101915Z 18005KT 3/4SM R28R/2200VP6000FT +RA BR FEW006 BKN015 OVC048 15/13 A2988 RMK AO2 SFC VIS 1 P0010 T01500128 $
2016-10-28 03:56|KSFO 280356Z 07006KT 6SM BR OVC006 16/15 A2992 RMK AO2 RAE51 CIG 004V010 SLP131 P0006 T01610150 $
2016-01-09 22:56|KSFO 092256Z 10006KT 10SM SCT025 BKN035 OVC055 12/08 A3011 RMK AO2 CIG 030 RWY L10 SLP197 T01170078
2020-09-17 16:24|KSFO 171624Z 00000KT 1SM R28R/3000VP6000FT BR FEW003 FEW008 BKN016 18/16 A2998 RMK AO2 VIS 1/2V2 1/2 VIS 3SM VIS E 1SM T01780161 $
2025-09-08 23:56|KSFO 082356Z 24010G20KT 220V280 10SM FEW028 BKN200 24/14 A2998 RMK AO2 SLP153 T02440144 10256 20194 56022 $
2025-09-28 07:36|KSFO 280736Z VRB03KT 10SM BKN021 18/14 A2989 RMK AO2 T01780139
2025-09-26 17:56|KSFO 261756Z 05004KT 10SM CLR 19/15 A2990 RMK AO2 SLP123 T01940150 10194 20150 CHINO RWY L10 VISNO $
2025-12-24 10:49|KSFO 241049Z 21013KT 2 1/2SM +RA BR FEW006 SCT022 OVC037 14/14 A2952 RMK AO2 PK WND 17034/1008 PRESRR P0021 T01440139 $
2025-12-25 09:56|KSFO 250956Z 15023G32KT 4SM -RA FEW036 BKN048 OVC070 13/11 A2956 RMK AO2 PK WND 17056/0905 LTG DSNT SW AND W SLP010 P0013 T01330106 $
2017-01-13 00:52|KSFO 130052Z 36005KT 1 3/4SM +RA FEW019 SCT025 BKN032 09/06 A2996 RMK AO2 VIS 1V3 RAB34 P0003
